City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
122,Saskylakh,RU,71.9167,114.0833,33.53,90,81,8.61,broken clouds
123,Carnarvon,AU,-24.8667,113.6333,57.27,100,3,6.91,clear sky
124,Luderitz,NA,-26.6481,15.1594,60.01,66,32,14.43,scattered clouds
125,San Lazaro,BZ,18.0387,-88.6622,89.38,47,78,8.61,broken clouds
126,Hovin,NO,63.1055,10.225,54.84,71,4,0.78,clear sky
127,Itaituba,BR,-4.2761,-55.9836,82.56,83,40,2.3,scattered clouds
128,Khonsa,IN,27.0167,95.5667,65.59,98,45,3.24,scattered clouds
129,Rehoboth,NA,-23.3167,17.0833,58.14,31,16,1.86,few clouds
130,Selikhino,RU,50.3672,137.4996,52.57,67,100,9.28,overcast clouds
131,Clyde River,CA,70.4692,-68.5914,32.23,80,20,4.61,few clouds
132,Kuryk,KZ,43.2,51.65,68.7,67,2,5.39,clear sky
133,Sabha,LY,27.0377,14.4283,93.11,10,0,9.64,clear sky
134,Sioux Lookout,CA,50.1001,-91.917,68.07,26,75,13.8,broken clouds
135,San Antonio,US,29.4241,-98.4936,86.77,57,40,5.75,scattered clouds
136,Kranuan,TH,16.7067,103.0788,82.42,81,100,8.28,overcast clouds
137,Hofn,IS,64.2539,-15.2082,45.64,87,100,17.92,overcast clouds
138,Pervomayskoye,RU,43.919,46.7102,70.48,68,99,5.61,overcast clouds
139,Klaksvik,FO,62.2266,-6.589,47.32,82,22,11.61,few clouds
140,Provideniya,RU,64.3833,-173.3,45.97,45,4,10.38,clear sky
141,Caetite,BR,-14.0694,-42.475,68.95,44,74,5.61,broken clouds
142,Vakhrushev,RU,48.9833,142.9667,38.68,97,100,18.79,overcast clouds
143,Nioro,GM,13.35,-15.75,82.02,44,48,9.06,scattered clouds
144,Bonoua,CI,5.2741,-3.595,83.82,88,67,4.88,broken clouds
145,Fare,PF,-16.7,-151.0167,79.86,69,23,8.84,few clouds
146,Constitucion,CL,-35.3333,-72.4167,54.03,75,98,10.27,overcast clouds
147,Bandarbeyla,SO,9.4942,50.8122,79.59,82,79,24.72,broken clouds
148,Tevriz,RU,57.509,72.4042,54.91,86,33,5.08,scattered clouds
149,Ojinaga,MX,29.5667,-104.4167,99.57,28,40,12.66,scattered clouds
150,Codrington,AU,-38.2667,141.9667,39.65,95,7,7.0,clear sky
151,Iracoubo,GF,5.4802,-53.2011,78.21,88,76,9.78,broken clouds
152,Tiksi,RU,71.6872,128.8694,32.52,94,83,10.45,broken clouds
153,San Lawrenz,MT,36.0553,14.204,67.86,82,50,3.78,scattered clouds
154,Mahebourg,MU,-20.4081,57.7,74.25,94,40,3.44,light rain
155,Henties Bay,NA,-22.116,14.2845,57.85,82,52,7.4,broken clouds
156,Jacksonville,US,30.3322,-81.6556,93.42,51,75,4.85,broken clouds
157,Zhangye,CN,38.9342,100.4517,63.61,38,11,8.5,few clouds
158,Fortuna,US,40.5982,-124.1573,80.19,78,40,4.0,scattered clouds
159,Vila Do Maio,CV,15.1333,-23.2167,74.19,82,34,18.88,scattered clouds
160,Belaya Gora,RU,68.5333,146.4167,55.99,39,0,18.32,clear sky
161,Gibara,CU,21.1097,-76.1317,74.52,74,33,12.66,scattered clouds
162,Jiexiu,CN,37.0244,111.9125,67.73,42,28,5.75,scattered clouds
163,Kanlagay,PH,5.8757,121.2915,80.8,77,99,2.82,overcast clouds
164,Kashira,RU,54.8444,38.1669,55.87,95,100,15.57,light rain
165,Valente,BR,-11.4122,-39.4619,73.17,61,89,8.1,overcast clouds
166,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.41,78,18,8.01,few clouds
167,Keti Bandar,PK,24.1447,67.4497,83.34,82,19,17.92,few clouds
168,Ambon,ID,-3.6954,128.1814,77.14,94,40,6.53,scattered clouds
169,Benjamin Hill,MX,30.1667,-111.1,91.27,8,30,16.91,scattered clouds
170,Arman,RU,59.7,150.1667,37.2,96,100,1.77,overcast clouds
171,Torbay,CA,47.6666,-52.7314,45.88,74,75,12.66,broken clouds
172,Raudeberg,NO,61.9875,5.1352,51.19,90,15,6.11,few clouds
173,Aksarayskiy,RU,46.7924,48.0119,67.98,55,10,6.98,clear sky
174,Susehri,TR,40.1644,38.0867,53.62,78,6,5.64,clear sky
175,Aklavik,CA,68.2191,-135.0107,33.8,64,90,6.91,overcast clouds
176,Gizo,SB,-8.103,156.8419,80.02,81,100,5.08,light rain
177,Ardmore,US,34.1743,-97.1436,78.58,56,40,4.0,scattered clouds
178,Williston,US,48.147,-103.618,72.01,29,74,5.99,broken clouds
179,Ancud,CL,-41.8697,-73.8203,49.23,80,97,5.77,overcast clouds
180,Port-Gentil,GA,-0.7193,8.7815,80.56,89,90,10.36,overcast clouds
181,Khani,GE,41.9563,42.9566,53.17,95,100,1.05,overcast clouds
182,Ust-Nera,RU,64.5667,143.2,41.68,97,100,3.51,overcast clouds
183,Ribeira Grande,PT,38.5167,-28.7,64.22,80,44,6.85,scattered clouds
184,Deer Lake,CA,49.1667,-57.4316,55.26,44,40,5.75,scattered clouds
185,Kruisfontein,ZA,-34.0033,24.7314,52.88,89,49,11.1,moderate rain
186,Carauari,BR,-4.8828,-66.8958,79.45,84,97,1.19,overcast clouds
187,Brae,GB,60.3964,-1.353,42.71,88,2,2.59,clear sky
188,Cidreira,BR,-30.1811,-50.2056,59.72,73,0,11.39,clear sky
189,Lujiang,CN,31.2581,117.2817,71.96,94,99,7.05,overcast clouds
190,Aswan,EG,24.0934,32.907,89.73,22,98,18.45,overcast clouds
191,Adrar,MR,20.5022,-10.0711,94.69,11,88,10.74,overcast clouds
192,Khatanga,RU,71.9667,102.5,39.61,75,97,8.84,overcast clouds
193,Mogwase,ZA,-25.185,27.2665,54.79,26,18,6.55,few clouds
